Player,National_Side,Team,Price_US,,,,,
Smriti Mandhana,India,Royal Challengers Bangalore,430000,,,,,
Harmanpreet Kaur,India,Mumbai Indians,230000,,,,,
Sophie Devine,New Zealand,Royal Challengers Bangalore,63000,,,,,
Ashleigh Gardner,Australia,Gujarat Giants,400000,,,,,Column1
Ellyse Perry,Australia,Royal Challengers Bangalore,210000,,,,,
Sophie Ecclestone,England,UP Warriorz,230000,,,,,
Deepti Sharma,India,UP Warriorz,330000,,,,,
Renuka Singh,India,Royal Challengers Bangalore,190000,,,,,
Nat Sciver-Brunt,England,Mumbai Indians,400000,,,,,
Tahlia McGrath,Australia,UP Warriorz,180000,,,,,
Beth Mooney,Australia,Gujarat Giants,250000,,,,,
Shabnim Ismail,South Africa,UP Warriorz,130000,,,,,
Amelia Kerr,New Zealand,Mumbai Indians,130000,,,,,
Sophia Dunkley,England,Gujarat Giants,75000,,,,,
Jemimah Rodrigues,India,Delhi Capitals,280000,,,,,
Meg Lanning,Australia,Delhi Capitals,140000,,,,,
Shafali Verma,India,Delhi Capitals,250000,,,,,
Annabel Sutherland,Australia,Gujarat Giants,88000,,,,,
Harleen Deol,India,Gujarat Giants,50000,,,,,
Pooja Vastrakar,India,Mumbai Indians,240000,,,,,
Deandra Dottin,West Indies,Gujarat Giants,75000,,,,,
Yastika Bhatia,India,Mumbai Indians,190000,,,,,
Richa Ghosh,India,Royal Challengers Bangalore,240000,,,,,
Alyssa Healy,Australia,UP Warriorz,88000,,,,,
Anjali Sarvani,India,UP Warriorz,69000,,,,,
Rajeshwari Gayakwad,India,UP Warriorz,50000,,,,,
Radha Yadav,India,Delhi Capitals,50000,,,,,
Shikha Pandey,India,Delhi Capitals,75000,,,,,
Sneh Rana,India,Gujarat Giants,94000,,,,,
Marizanne Kapp,South Africa,Delhi Capitals,190000,,,,,
Parshavi Chopra,India,UP Warriorz,13000,,,,,
Titas Sadhu,India,Delhi Capitals,31000,,,,,
Shweta Sehrawat,India,UP Warriorz,50000,,,,,
S. Yashasri,India,UP Warriorz,13000,,,,,
Kiran Navgire,India,UP Warriorz,38000,,,,,
Sabbineni Meghana,India,Gujarat Giants,38000,,,,,
Erin Burns,Australia,Royal Challengers Bangalore,38000,,,,,
Heather Graham,Australia,Mumbai Indians,38000,,,,,
Grace Harris,Australia,UP Warriorz,94000,,,,,
Georgia Wareham,Australia,Gujarat Giants,94000,,,,,
Alice Capsey,England,Delhi Capitals,94000,,,,,
Issy Wong,England,Mumbai Indians,38000,,,,,
Mansi Joshi,India,Gujarat Giants,38000,,,,,
Devika Vaidya,India,UP Warriorz,180000,,,,,
Amanjot Kaur,India,Mumbai Indians,63000,,,,,
Dayalan Hemalatha,India,Gujarat Giants,38000,,,,,
Lauren Bell,England,UP Warriorz,38000,,,,,
Monica Patel,India,Gujarat Giants,38000,,,,,
Tara Norris,United States,Delhi Capitals,13000,,,,,
Laura Harris,Australia,Delhi Capitals,56000,,,,,
Dhara Gujjar,India,Mumbai Indians,13000,,,,,
Jasia Akhter,India,Delhi Capitals,25000,,,,,
Disha Kasat,India,Royal Challengers Bangalore,13000,,,,,
Laxmi Yadav,India,UP Warriorz,13000,,,,,
Indrani Roy,India,Royal Challengers Bangalore,13000,,,,,
Minnu Mani,India,Delhi Capitals,38000,,,,,
Shreyanka Patil,India,Royal Challengers Bangalore,13000,,,,,
Kanika Ahuja,India,Royal Challengers Bangalore,44000,,,,,
Tanuja Kanwer,India,Gujarat Giants,63000,,,,,
Saika Ishaque,India,Mumbai Indians,13000,,,,,
Asha Shobana,India,Royal Challengers Bangalore,13000,,,,,
Hayley Matthews,West Indies,Mumbai Indians,50000,,,,,
Heather Knight,England,Royal Challengers Bangalore,50000,,,,,
Taniya Bhatia,India,Delhi Capitals,38000,,,,,
Sushma Verma,India,Gujarat Giants,75000,,,,,
Poonam Yadav,India,Delhi Capitals,38000,,,,,
Jess Jonassen,Australia,Delhi Capitals,63000,,,,,
Hurley Gala,India,Gujarat Giants,13000,,,,,
Sneha Deepthi,India,Delhi Capitals,38000,,,,,
Arundhati Reddy,India,Delhi Capitals,38000,,,,,
Chloe Tyron,South Africa,Mumbai Indians,38000,,,,,
Dane van Niekerk,South Africa,Royal Challengers Bangalore,38000,,,,,
Preeti Bose,India,Royal Challengers Bangalore,38000,,,,,
Simran Shaikh,India,UP Warriorz,13000,,,,,
Aparna Mondal,India,Delhi Capitals,13000,,,,,
Ashwani Kumari,India,Gujarat Giants,44000,,,,,
Humairaa Kaazi,India,Mumbai Indians,13000,,,,,
Poonam Khemnar,India,Royal Challengers Bangalore,13000,,,,,
Komal Zanzad,India,Royal Challengers Bangalore,31000,,,,,
Parunika Sisodia,India,Gujarat Giants,13000,,,,,
Priyanka Bala,India,Mumbai Indians,25000,,,,,
Megan Schutt,Australia,Royal Challengers Bangalore,50000,,,,,
Shabnam Shakil,India,Gujarat Giants,13000,,,,,
Sonam Yadav,India,Mumbai Indians,13000,,,,,
Jintimani Kalita,India,Mumbai Indians,13000,,,,,
Neelam Bisht,India,Mumbai Indians,13000,,,,,
Sahana Pawar,India,Royal Challengers Bangalore,13000,,,,,
,,,7075000,,,,,
